,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
55886,5bgwqaRSS3M8WHWruHgSL5,8TEEN,80,228600,0,['Khalid'],2017-04-27,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03
55888,0afhq8XCExXpqazXczTSve,Galway Girl,80,170827,0,['Ed Sheeran'],2017-03-03,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943
55892,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,80,220307,1,['21 Savage'],2017-09-23,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016
55894,55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),80,247160,0,"['ZAYN', 'Taylor Swift']",2017-11-09,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97
56784,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),89,200186,0,"['Billie Eilish', 'Khalid']",2018-04-19,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
56785,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,239836,1,['Juice WRLD'],2018-12-10,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903
56787,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,87,165820,1,['Juice WRLD'],2018-12-10,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989
56788,3ee8Jmje8o58CHK66QrVC2,SAD!,87,166606,1,['XXXTENTACION'],2018-03-16,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
56790,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,87,312820,1,['Travis Scott'],2018-08-03,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008
56793,7uoFMmxln0GPXQ0AcCBXRq,Snowman,86,165907,0,['Sia'],2018-11-01,0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957
56794,2VxeLyX666F8uXCJ0dZF8B,Shallow,86,215733,0,"['Lady Gaga', 'Bradley Cooper']",2018-10-05,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799
56796,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),86,218147,1,"['Post Malone', '21 Savage']",2018-04-27,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801
56797,0JP9xo3adEtGSdUEISiszL,Moonlight,85,135090,1,['XXXTENTACION'],2018-03-16,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009
56800,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,85,158040,0,"['Post Malone', 'Swae Lee']",2018-12-14,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911
56802,0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,85,209274,1,['Joji'],2018-10-26,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964
56803,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,85,169354,0,['Alec Benjamin'],2018-11-16,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
56805,4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),85,179080,0,"['Kina', 'Snøw']",2018-10-08,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
56808,2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,84,197437,0,['Lauv'],2018-05-31,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97
56809,7AFASza1mXqntmGtbxXprO,changes,84,121887,0,['XXXTENTACION'],2018-03-16,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934
56811,6DCZcSspjsKoFjzjrWoCdn,God's Plan,84,198973,1,['Drake'],2018-06-29,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
56812,7dt6x5M1jzdTEt8oCbisTK,Better Now,84,231267,1,['Post Malone'],2018-04-27,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038
56817,4UKCKdYiLN6IMA5ZESUTL7,the remedy for a broken heart (why am I so in love),83,160184,1,['XXXTENTACION'],2018-03-16,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705
56818,69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,83,204326,0,['Calum Scott'],2018-03-09,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006
56820,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,83,228373,0,['The Weeknd'],2018-03-30,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17
56821,4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,83,196400,1,"['Lil Peep', 'XXXTENTACION']",2018-11-09,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013
56823,7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,83,268434,1,['YNW Melly'],2018-08-03,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007
56824,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),83,214847,0,"['Calvin Harris', 'Dua Lipa']",2018-04-06,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
56826,1Bhm5HNO1cq8olDbBmokyL,Copines,83,171720,0,['Aya Nakamura'],2018-11-02,0.701,0.787,8,-3.941,0,0.0855,0.27,0.0,0.105,0.904,180.027
56833,2iUXsYOEPhVqEBwsqP70rE,Youngblood,82,203418,0,['5 Seconds of Summer'],2018-06-15,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274
56837,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),82,145543,1,"['Lil Baby', 'Gunna']",2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
56839,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),82,217307,0,"['Camila Cabello', 'Young Thug']",2018-01-12,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
56841,58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,82,187932,0,"['Kina', 'Adriana Proenza']",2018-08-31,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
56845,1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,82,184154,0,['girl in red'],2018-11-21,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959
56847,5cF0dROlMOK5uNZtivgu50,Attention,82,208787,0,['Charlie Puth'],2018-05-11,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066
56849,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),82,180522,1,"['Meek Mill', 'Drake']",2018-11-30,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003
56851,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,82,184560,0,"['Dynoro', ""Gigi D'Agostino""]",2018-06-08,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905
56853,08bNPGLD8AhKpnnERrAc6G,FRIENDS,82,202621,1,"['Marshmello', 'Anne-Marie']",2018-02-09,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079
56857,0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,82,216721,0,['grandson'],2018-05-04,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029
56859,18uwL0vNUanqZH0ro2QcOP,comethru,82,181613,0,['Jeremy Zucker'],2018-09-28,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
56861,35wvL50xvKpCHEJPxLOLPI,Si Estuviésemos Juntos,81,169248,1,['Bad Bunny'],2018-12-23,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854
56863,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),81,232187,1,"['Kendrick Lamar', 'SZA']",2018-02-09,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924
56865,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),81,205040,1,"['A$AP Rocky', 'Skepta']",2018-05-25,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
56867,1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),81,203267,1,"['Metro Boomin', 'Gunna']",2018-11-06,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004
56869,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),81,221440,1,"['Post Malone', 'Ty Dolla $ign']",2018-04-27,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06
56871,5OCJzvD7sykQEKHH7qAC3C,God is a woman,81,197547,1,['Ariana Grande'],2018-08-17,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031
56873,1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,81,174358,1,['Joji'],2018-10-26,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033
56875,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,81,190557,0,['Travis Scott'],2018-08-03,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958
56877,2Y0iGXY6m6immVb2ktbseM,Little Dark Age,81,299960,0,['MGMT'],2018-02-09,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512
56879,5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,81,169999,1,['Juice WRLD'],2018-12-10,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032
56881,6LOZws7T3jqZz78unPgFF9,Dead To Me,81,199506,0,['Kali Uchis'],2018-04-06,0.675,0.761,4,-4.469,0,0.0466,0.432,0.0,0.102,0.428,119.001
56883,3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,81,175755,1,['Juice WRLD'],2018-12-10,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935
56885,6foY66mWZN0pSRjZ408c00,Whiskey Glasses,81,234347,0,['Morgan Wallen'],2018-04-27,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959
56887,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,81,205920,0,['Ariana Grande'],2018-08-17,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993
56889,1Knctxx9vGZxpZfF66BIEa,Legends,81,191840,1,['Juice WRLD'],2018-06-22,0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049
56891,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),80,189487,1,"['A Boogie Wit da Hoodie', '6ix9ine']",2018-12-21,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023
56893,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,80,193200,0,['Luke Combs'],2018-06-01,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313
56895,2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,80,182161,0,['Lewis Capaldi'],2018-11-08,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
56899,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),80,228760,1,"['Kodak Black', 'Offset', 'Travis Scott']",2018-12-14,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043
56901,0oufSLnKQDoBFX5mgkDCgR,Trust,80,158421,1,['Brent Faiyaz'],2018-10-19,0.764,0.394,8,-8.559,1,0.154,0.224,8.71e-05,0.119,0.471,92.011
56903,2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,80,210200,0,['Lady Gaga'],2018-10-05,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976
56905,2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),80,164640,0,"['Social House', 'Lil Yachty']",2018-06-08,0.769,0.479,1,-5.339,1,0.0385,0.66,0.0,0.0914,0.803,96.051
56909,0TlLq3lA83rQOYtrqBqSct,Nonstop,80,238614,1,['Drake'],2018-06-29,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983
56911,5bJ1DrEM4hNCafcDd1oxHx,Self Care,80,345133,1,['Mac Miller'],2018-08-03,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894
56913,3h3pOvw6hjOvZxRUseB7h9,i wanna be your girlfriend,80,204991,0,['girl in red'],2018-03-02,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882
56915,1tNJrcVe6gwLEiZCtprs1u,3 Nights,80,177667,0,['Dominic Fike'],2018-10-16,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
56917,6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,80,142273,1,"['Lil Baby', 'Drake']",2018-05-18,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957
57750,60ynsPSSKe6O3sfwRnIBRf,Streets,94,226987,1,['Doja Cat'],2019-11-07,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028
57751,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,92,174000,0,['Harry Styles'],2019-12-13,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
57758,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,88,176840,1,"['SAINt JHN', 'Imanbek']",2019-10-09,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975
57761,0nbXyq5TXYPCO7pr3N8S4I,The Box,88,196653,1,['Roddy Ricch'],2019-12-06,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971
57762,3H7ihDc1dqLriiWXwsc2po,Breaking Me,88,166794,0,"['Topic', 'A7S']",2019-12-19,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031
57764,2Fxmhks0bxGSBdJ92vM42m,bad guy,88,194088,0,['Billie Eilish'],2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
57766,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,88,209438,0,['Tones And I'],2019-10-17,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
57769,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,87,175721,1,['Travis Scott'],2019-10-04,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
57771,6Hj9jySrnFppAI0sEMCZpJ,Robbery,87,240051,1,['Juice WRLD'],2019-03-08,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966
57773,6ocbgoVGwYJhOv1GgI9NsF,7 rings,87,178627,1,['Ariana Grande'],2019-02-08,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048
57775,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,87,245426,0,['Billie Eilish'],2019-11-13,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
57776,2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,86,208687,0,"['JP Saxe', 'Julia Michaels']",2019-10-17,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801
57778,43zdsphuZLzwA9k4DJhU0I,when the party's over,86,196077,0,['Billie Eilish'],2019-03-29,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
57779,79s5XnCN4TJKTVMSmOx8Ep,Dior,86,216387,1,['Pop Smoke'],2019-07-26,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094
57780,30bqVoKjX479ab90a8Pafp,Star Shopping,86,142000,1,['Lil Peep'],2019-04-19,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099
57781,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,86,183290,0,['Dua Lipa'],2019-10-31,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
57782,696DnlkuDOXcMAnKlTgXXK,ROXANNE,86,163636,1,['Arizona Zervas'],2019-10-10,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735
57783,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,86,215107,0,['Lewis Capaldi'],2019-11-22,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
57785,3Dv1eDb0MEgF93GpLXlucZ,Say So,85,237893,1,['Doja Cat'],2019-11-07,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962
57787,4PEfJZpVjdclfzZ9XO8uDw,Hasta Abajo,85,229827,0,"['Kevin Roldan', 'Bryant Myers', 'Lyanno']",2019-10-04,0.714,0.671,5,-5.119,1,0.362,0.289,0.0,0.325,0.641,169.732
57788,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",85,167693,0,"['Dan + Shay', 'Justin Bieber']",2019-10-04,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991
57789,7k4t7uLgtOxPwTpFmtJNTY,Tusa,85,200960,0,"['KAROL G', 'Nicki Minaj']",2019-11-07,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085
57792,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),85,176547,0,"['Surf Mesa', 'Emilee']",2019-11-26,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
57796,57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),85,178000,0,"['Wallows', 'Clairo']",2019-03-22,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
57798,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",84,207320,1,['Ariana Grande'],2019-02-08,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966
57799,0RLLvYBopDwooCyvnTwgYu,F.N,84,224000,1,['Lil Tjay'],2019-10-11,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1
57803,3H3r2nKWa3Yk5gt8xgmsEt,This City,84,194853,0,['Sam Fischer'],2019-12-11,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877
57804,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84,242573,0,"['J Balvin', 'Bad Bunny']",2019-06-28,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089
57807,22vgEDb5hykfaTwLuskFGD,Sucker,84,181027,0,['Jonas Brothers'],2019-06-07,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958
57809,6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),84,157712,1,"['JACKBOYS', 'Travis Scott', 'Young Thug']",2019-12-27,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864
57811,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),84,229773,0,"['BTS', 'Halsey']",2019-04-12,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991
57812,7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,84,176972,0,"['SLANDER', 'Dylan Matthew']",2019-11-13,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644
57814,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,84,158571,0,['Surfaces'],2019-01-06,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022
57816,1lOe9qE0vR9zwWQAOk6CoO,Ransom,83,131240,1,['Lil Tecca'],2019-08-30,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974
57817,7xQAfvXzm3AkraOtGPWIZg,Wow.,83,149547,1,['Post Malone'],2019-09-06,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96
57819,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,83,157067,0,"['Lil Nas X', 'Billy Ray Cyrus']",2019-06-21,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041
57821,3pCt2wRdBDa2kCisIdHWgF,To the Bone,83,344571,0,['Pamungkas'],2019-06-14,0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991
57823,4Of7rzpRpV1mWRbhp5rAqG,Bruises,83,220492,0,['Lewis Capaldi'],2019-05-17,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202
57825,6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,83,153294,0,['Labrinth'],2019-10-04,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643
57827,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),83,260640,1,"['Chris Brown', 'Drake']",2019-06-28,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928
57829,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),83,180435,1,"['Mustard', 'Roddy Ricch']",2019-06-28,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008
57833,6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),83,189323,1,"['Juice WRLD', 'YoungBoy Never Broke Again']",2019-10-04,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051
57835,6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),83,166560,1,"['Polo G', 'Lil Tjay']",2019-06-07,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112
57837,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),83,219947,0,"['Ed Sheeran', 'Justin Bieber']",2019-05-10,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956
57839,2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,83,243463,1,['Kevin Gates'],2019-05-31,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911
57841,6CcJMwBtXByIz4zQLzFkKc,i love you,83,291796,0,['Billie Eilish'],2019-03-29,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446
57843,2TH65lNHgvLxCKXM3apjxI,Callaita,82,250534,1,"['Bad Bunny', 'Tainy']",2019-05-31,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169
57847,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,82,213594,1,['J. Cole'],2019-01-23,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984
57849,4CxFN5zON70B3VOPBYbd6P,you were good to me,82,219147,0,"['Jeremy Zucker', 'Chelsea Cutler']",2019-05-03,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128
57855,1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,82,152913,0,"['MEDUZA', 'Goodboys']",2019-02-01,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
57857,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,82,178480,0,['Mabel'],2019-01-18,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994
57859,64lsIF5pw0sJY0gV5kz0RN,Can I Call You Tonight?,82,278769,0,['Dayglow'],2019-11-14,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98
57863,5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),82,205427,1,"['Drake', 'Rick Ross']",2019-06-15,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541
57865,4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),81,197867,0,"['Ed Sheeran', 'Khalid']",2019-06-28,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977
57867,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,81,201084,1,['Ashe'],2019-02-14,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812
57869,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),81,171030,0,"['Sam Smith', 'Normani']",2019-01-11,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998
57871,60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,81,205687,0,['Lewis Capaldi'],2019-05-17,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958
57873,5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,81,190067,1,"['Tyler, The Creator']",2019-05-17,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635
57875,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),81,174853,1,"['Post Malone', 'Young Thug']",2019-09-06,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068
57877,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),81,170746,0,"['Camila Cabello', 'DaBaby']",2019-12-06,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046
57879,5JtvedSVWW9McnoEAPJwQm,Sex Sounds,81,162453,1,['Lil Tjay'],2019-10-11,0.857,0.427,8,-8.638,1,0.112,0.281,0.0,0.108,0.366,130.033
57881,2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker),81,169397,1,"['Machine Gun Kelly', 'YUNGBLUD', 'Travis Barker']",2019-07-05,0.628,0.744,7,-4.718,1,0.0379,0.0257,0.0,0.313,0.277,119.921
57883,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,81,223480,1,"['BENEE', 'Gus Dapperton']",2019-11-15,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977
57885,1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,81,197732,0,['Sasha Sloan'],2019-06-28,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953
57887,5w9c2J52mkdntKOmRLeM2m,Con Calma,81,193227,0,"['Daddy Yankee', 'Snow']",2019-01-24,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989
