,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
52881,6YUTL4dYpB9xZO5qExPf05,Summer,83,222533,0,['Calvin Harris'],2014-10-31,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949
52885,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,82,199080,0,['WALK THE MOON'],2014-12-02,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038
52887,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,82,229360,1,"['Pitbull', 'Ne-Yo']",2014-11-21,0.72,0.802,1,-5.797,1,0.0582,0.0921,0.0,0.694,0.723,124.043
52889,7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,82,239317,0,['Sam Smith'],2014-05-26,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001
52891,3DmW6y7wTEYHJZlLo1r6XJ,Shower,82,206167,0,['Becky G'],2014-04-23,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987
52896,7yq4Qj7cqayVTp3FF9CWbm,Riptide,81,204280,0,['Vance Joy'],2014-09-08,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
52900,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",81,232720,0,['Pharrell Williams'],2014-03-03,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019
52901,6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,81,198053,0,"['Aaron Smith', 'Krono', 'Luvli']",2014-11-07,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896
52903,6Ius4TC0L3cN74HT7ENE6e,Wet Dreamz,81,239320,1,['J. Cole'],2014-12-09,0.517,0.705,6,-8.205,0,0.364,0.0751,0.0,0.128,0.584,175.906
52905,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,81,231827,0,['Taylor Swift'],2014-01-01,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997
52911,5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,80,194240,0,['American Authors'],2014-01-01,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012
52912,2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,80,228133,0,['One Direction'],2014-11-17,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217
52917,7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),80,227267,0,"['Calvin Harris', 'Ellie Goulding']",2014-10-31,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035
53833,7fBv7CLKzipRk6EC6TWHOB,The Hills,87,242253,1,['The Weeknd'],2015-08-28,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003
53834,5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,87,260173,0,['The Neighbourhood'],2015-10-30,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012
53835,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,86,216320,1,['Tame Impala'],2015-07-17,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879
53836,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,86,202333,0,['Twenty One Pilots'],2015-05-15,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
53837,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,86,218107,0,['BØRNS'],2015-10-16,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
53838,4DpNNXFMMxQEKl7r0ykkWA,Play Date,84,179867,1,['Melanie Martinez'],2015-08-14,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97
53840,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,84,233720,0,['Justin Bieber'],2015-11-13,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418
53841,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),83,269667,0,"['Mark Ronson', 'Bruno Mars']",2015-01-12,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
53843,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),83,229526,0,"['Wiz Khalifa', 'Charlie Puth']",2015-01-01,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
53847,0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,82,196520,0,['WILLOW'],2015-01-11,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
53849,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,82,213520,0,['The Weeknd'],2015-08-28,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949
53851,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,82,192120,0,['One Direction'],2015-11-13,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113
53853,04aAxqtGp5pv12UXAg4pkq,Centuries,82,228360,0,['Fall Out Boy'],2015-01-20,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042
53857,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,81,258267,0,['Coldplay'],2015-12-04,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027
53859,3hRV0jL3vUpRrcy398teAU,The Night We Met,81,208212,0,['Lord Huron'],2015-04-06,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01
53861,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,81,230613,0,['Avicii'],2015-10-02,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999
53863,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),80,225053,0,"['Meghan Trainor', 'John Legend']",2015-01-09,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038
53867,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,80,188238,0,"['Rihanna', 'Kanye West', 'Paul McCartney']",2015-01-24,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846
53869,4PhsKqMdgMEUSstTDAmMpg,Often,80,249040,1,['The Weeknd'],2015-08-28,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078
53871,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",80,252534,0,['Ellie Goulding'],2015-11-06,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857
53873,6y6jbcPG4Yn3Du4moXaenr,idfc,80,245172,1,['blackbear'],2015-02-14,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871
54822,6gBFPUFcJLzWGx4lenP6h2,goosebumps,88,243837,1,['Travis Scott'],2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049
54823,55Am8neGJkdj2ADaM3aw5H,Train Wreck,87,208827,0,['James Arthur'],2016-10-28,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355
54824,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,87,211467,0,['James Arthur'],2016-10-28,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
54826,7MXVkk9YMctZqd1Srtv4MB,Starboy,86,230453,1,"['The Weeknd', 'Daft Punk']",2016-11-25,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
54828,7MiZjKawmXTsTNePyTfPyL,Devil Eyes,86,131272,0,['Hippie Sabotage'],2016-02-05,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112
54829,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,84,206693,0,['Bruno Mars'],2016-11-17,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
54832,5NvOZCjZaGGGL597exlQWv,Line Without a Hook,84,249587,0,['Ricky Montgomery'],2016-04-08,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028
54833,0wXuerDYiBnERgIpbb3JBR,Redbone,84,326933,1,['Childish Gambino'],2016-12-02,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143
54834,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,84,269187,0,"['The Weeknd', 'Daft Punk']",2016-11-25,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987
54837,1zi7xx7UVEFkmKfv06H8x0,One Dance,83,173987,0,"['Drake', 'WizKid', 'Kyla']",2016-05-06,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967
54840,2IVsRhKrx8hlQBOWy4qebo,Mr Loverman,83,216880,0,['Ricky Montgomery'],2016-04-08,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033
54842,6i0V12jOa3mr6uu4WYhUBr,Heathens,83,195920,0,['Twenty One Pilots'],2016-06-16,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
54846,42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,81,230227,0,['Alessia Cara'],2016-03-11,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169
54848,5oO3drDxtziYU2H1X23ZIp,Love On The Brain,81,224000,1,['Rihanna'],2016-01-28,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006
54849,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",81,251034,1,"['gnash', ""Olivia O'Brien""]",2016-03-25,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
54851,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,81,219147,1,['DNCE'],2016-11-18,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
54854,4pAl7FkDMNBsjykPXo91B3,Needed Me,81,191600,1,['Rihanna'],2016-01-28,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898
54859,4NZrZgrRoR4GwR7flWOXRI,Go Fuck Yourself,80,129600,1,['Two Feet'],2016-07-29,0.765,0.327,6,-8.029,1,0.277,0.571,0.0479,0.0787,0.292,74.931
54861,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),80,222160,0,"['Calvin Harris', 'Rihanna']",2016-04-29,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962
54863,37f4ITSlgPX81ad2EvmVQr,Fight Song,80,204013,0,['Rachel Platten'],2016-01-01,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924
54865,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,80,202747,1,['ZAYN'],2016-03-25,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944
54867,6b8Be6ljOzmkOmFslEb23P,24K Magic,80,225983,0,['Bruno Mars'],2016-11-17,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
54869,34xTFwjPQ1dC6uJmleno7x,Godspeed,80,177922,0,['Frank Ocean'],2016-08-20,0.421,0.0952,6,-12.561,1,0.0479,0.931,0.000201,0.126,0.0773,109.698
54871,0ErK6K0kYr0Ow2RkPMhmMs,Shout Out to My Ex,80,246240,0,['Little Mix'],2016-11-18,0.773,0.747,5,-4.061,1,0.0885,0.0242,8.99e-06,0.109,0.801,126.014
54873,3xKsf9qdS1CyvXSMEid6g8,Pink + White,80,184516,0,['Frank Ocean'],2016-08-20,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738
55794,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,87,119133,1,['XXXTENTACION'],2017-08-25,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
55796,7qiZfU4dY1lWllzX7mPBI3,Shape of You,87,233713,0,['Ed Sheeran'],2017-03-03,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
55797,2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,86,90228,0,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",2017-01-08,0.0,0.00342,8,-28.46,1,0.0,0.791,1.0,0.111,0.0,0.0
55799,3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,85,95467,1,['XXXTENTACION'],2017-08-25,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953
55800,1zB4vmk8tFRmM9UULNzbLB,Thunder,85,187147,0,['Imagine Dragons'],2017-06-23,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997
55802,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,84,182707,1,['Lil Uzi Vert'],2017-08-25,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096
55804,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,84,247160,0,"['The Chainsmokers', 'Coldplay']",2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
55806,7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),84,146520,1,"['XXXTENTACION', 'Trippie Redd']",2017-08-25,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036
55810,0uxSUdBrJy9Un0EYoBowng,20 Min,83,220587,1,['Lil Uzi Vert'],2017-11-17,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426
55814,52okn5MNA47tk87PeZJLEL,Let You Down,83,212120,0,['NF'],2017-10-06,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997
55816,7floNISpH8VF4z4459Qo18,Look At Me!,83,126346,1,['XXXTENTACION'],2017-02-20,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059
55818,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,83,177000,1,['Kendrick Lamar'],2017-04-14,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
55820,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,83,187973,0,['Shawn Mendes'],2017-04-20,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695
55822,7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,83,199440,0,['Shawn Mendes'],2017-04-20,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998
55824,2RttW7RAu5nOAfq6YFvApB,Happier,83,207520,0,['Ed Sheeran'],2017-03-03,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
55826,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),83,172800,1,"['Offset', 'Metro Boomin']",2017-10-30,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007
55828,7vGuf3Y35N4wmASOKLUVVU,Silence,82,180823,0,"['Marshmello', 'Khalid']",2017-08-11,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971
55830,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,82,239000,0,"['ZAYN', 'Sia']",2017-09-07,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043
55832,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,82,200379,0,['Billie Eilish'],2017-12-22,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892
55834,0VgkVdmE4gld66l8iyGjgx,Mask Off,82,204600,1,['Future'],2017-06-30,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062
55836,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),82,180387,1,"['Tyler, The Creator', 'Kali Uchis']",2017-07-21,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
55838,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,82,202547,0,['Khalid'],2017-04-27,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949
55842,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,82,201000,0,['Sam Smith'],2017-11-03,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873
55844,2ekn2ttSfGqwhhate0LSR0,New Rules,82,209320,0,['Dua Lipa'],2017-06-02,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
55848,1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,81,235000,0,"['League of Legends', 'Against The Current']",2017-09-15,0.498,0.598,4,-6.638,0,0.0377,0.00786,0.0,0.111,0.0573,140.078
55850,6Nle9hKrkL1wQpwNfEkxjh,Chanel,81,210285,1,['Frank Ocean'],2017-03-10,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134
55852,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,81,203000,0,['Axwell /\\ Ingrosso'],2017-07-28,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
55854,7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),81,278180,0,"['Daniel Caesar', 'Kali Uchis']",2017-08-25,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038
55860,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,81,298941,1,['Drake'],2017-03-18,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98
55864,41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,81,203569,0,['Billie Eilish'],2017-12-22,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163
55866,152lZdxL1OR0ZMW6KquMif,Location,81,219080,0,['Khalid'],2017-04-27,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126
55868,33SNO8AaciGbNaQFkxvPrW,Kiwi,81,176387,0,['Harry Styles'],2017-05-12,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124
55870,76cy1WJvNGJTj78UqeA5zr,IDGAF,81,217947,1,['Dua Lipa'],2017-06-02,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028
55874,4JE6agBLHGA5TaF6FlqfBD,As the World Caves In,80,218755,0,['Matt Maltese'],2017-03-06,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829
55876,7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,80,203760,1,['Demi Lovato'],2017-09-29,0.705,0.64,11,-6.928,0,0.225,0.0237,0.0,0.262,0.887,144.077
55878,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,80,220883,0,"['Martin Garrix', 'Dua Lipa']",2017-01-27,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
55880,0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),80,275080,1,"['SZA', 'Travis Scott']",2017-06-09,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002
55882,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,80,213400,1,"['Kendrick Lamar', 'Zacari']",2017-04-14,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058
